,n_counts,_scvi_batch,_scvi_labels,_scvi_local_l_mean,_scvi_local_l_var,cell_type,subtissue,sex
SRR6531849,303265.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531850,106273.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531852,96173.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531853,144776.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531854,130907.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531855,28717.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531856,25168.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531864,177394.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531865,159518.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531868,268197.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531869,236916.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531872,102896.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531874,89035.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531875,65508.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531876,59221.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531881,53702.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531882,48245.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531883,131625.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531886,116017.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531889,98908.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531890,89014.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531891,31055.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531892,28180.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531893,136613.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531894,124990.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531895,272928.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531897,245631.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531898,22075.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531899,20022.0,0,0,10.968420028686523,1.2601511478424072,unknown,unknown,unknown
SRR6531900,186260.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531901,167505.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531906,132211.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531908,114532.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531909,232088.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531910,206905.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531911,182836.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531912,163744.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531915,27668.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531916,24925.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531920,207797.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531921,185837.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531922,92275.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531923,80353.0,0,0,10.968420028686523,1.2601511478424072,endothelial cell,Cortex,F
SRR6531924,161892.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531925,144076.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531926,87347.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531927,78864.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531931,62128.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531932,54152.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531935,116908.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531936,102830.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
SRR6531939,56554.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531941,50148.0,0,0,10.968420028686523,1.2601511478424072,astrocyte,Cortex,F
SRR6531942,293751.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531943,265011.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte,Cortex,F
SRR6531946,74393.0,0,0,10.968420028686523,1.2601511478424072,oligodendrocyte precursor cell,Cortex,F
