mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
Plk4,15456.0,True,1201.0,12.020833333333334,1281.7905052264807,1.237282648529692,3
Mfsd8,28402.0,True,1707.0,22.583333333333332,5835.031358885017,1.5510195389257835,6
D3Ertd751e,22667.0,True,2301.0,41.96875,6904.35093641115,1.5418761779210233,6
Crispld1,12099.0,True,2472.0,1.6076388888888888,256.1974327332559,1.222734011073654,4
Gdap1,588733.0,True,2176.5,661.5833333333334,376074.43205574906,1.259198700662841,4
St8sia2,720353.0,True,485.0,32.96875,11809.90494337979,1.786384916558845,5
Nrp1,176370.0,True,86.0,42.68402777777778,29061.61758372048,2.7145367125549815,6
Pard3,48941.0,True,2039.0,20.87847222222222,2683.354517518389,1.0053834837446542,2
Homer2,38827.0,True,2435.0,22.25,2932.919860627178,0.8171867156645979,1
Prkar1b,1311293.0,True,2172.5,2007.9097222222222,1482021.4447831977,1.0633386526409219,2
Stag2,104040.0,True,2092.5,96.46527777777777,21568.953493999223,1.490614055468497,6
Cplx2,64704.0,True,108.0,101.00694444444444,54640.320509097946,1.244603811737245,1
Faf2,144805.0,True,2369.0,124.23611111111111,23511.930120015488,1.3395852810346343,4
Unc5a,61426.0,True,2044.5,40.770833333333336,6358.8183797909405,1.116064038344591,2
Uimc1,60341.0,True,1937.5,68.67708333333333,15094.839612369338,1.5146645776844823,6
Casp12,1332.0,True,2066.0,4.625,696.7926829268292,0.24545694996528425,1
Casp1,329.0,True,2402.0,0.5208333333333334,39.26785714285714,0.3978315839982403,1
Snca,2104744.0,True,1075.5,1244.0381944444443,1287304.6466197253,1.6625704200890017,6
Kbtbd3,25857.0,True,1904.0,28.27777777777778,2807.776229190863,0.8201551386971726,1
Aasdhppt,85415.0,True,1099.0,96.92708333333333,10904.938915505227,0.990349879397031,1
Alkbh8,58131.0,True,1879.5,23.42361111111111,3552.1404858691444,1.1359595446628667,2
Oprk1,71265.0,True,207.0,86.42013888888889,45900.92739789005,2.424971976486248,6
Sntg1,43129.0,True,1508.5,59.15972222222222,14698.204365079366,1.2782073943774437,4
Terf1,31993.0,True,1235.0,45.697916666666664,4353.222016550522,0.9539436587576193,1
Paqr8,52786.0,True,1942.0,49.28819444444444,11591.697142373208,1.3998033678865054,6
Eya1,21020.0,True,321.0,10.975694444444445,4335.842612756484,1.7180377102670208,5
Tram1,96771.0,True,550.0,79.61111111111111,9350.24545102594,1.181114849878162,2
Slco5a1,66977.0,True,857.5,3.8854166666666665,764.0530270034844,1.7068986807514437,6
Pth2r,6437.0,True,2442.5,3.3125,915.0727351916375,1.1861534601121628,4
Pikfyve,53650.0,True,2765.0,49.625,9134.548780487805,1.3022196821864642,5
Mettl21a,49910.0,True,1853.0,45.14930555555556,6925.256375822686,1.462919167146308,5
4933402D24Rik,1970.0,True,2193.0,2.9375,534.4490418118467,1.265161148834901,4
Adam23,71424.0,True,576.0,84.66319444444444,15779.283379307008,1.0782747177119258,1
Nrp2,238740.0,True,355.0,74.84722222222223,13431.844173441732,1.8470163463787312,5
Slc39a10,249503.0,True,2467.0,187.77777777777777,48773.748354626405,1.3637849163505804,5
Cps1,34348.0,True,897.5,21.875,9564.41637630662,1.9399751192640118,6
Slc40a1,14475.0,True,712.5,6.430555555555555,1184.9847077042198,1.6285108704310878,4
Wdr75,95814.0,True,2186.0,98.57638888888889,18451.478464963217,1.364088628981129,5
