hgnc_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
LINC00229,4.0,True,4973.0,0.002126528442317916,0.004250794620335494,1.3278372863275414
RPL9P2,3678.0,True,1114.0,1.9553429027113238,1824.5746004275677,1.8224117122598216
MRPS10P2,170.0,True,4190.0,0.09037745879851143,8.588636080853325,1.3837467804765207
JAZF1-AS1,224.0,True,1533.0,0.1190855927698033,11.032619588946574,1.7201121525444154
PFN1P3,169.0,True,2879.0,0.08984582668793195,6.774370242175393,1.506120474744806
LINC01426,7145.0,True,1565.0,3.7985114300903775,4754.307785017024,1.713879310172988
ZNF37BP,333241.0,True,4801.0,177.16161616161617,504151.43769611005,1.339045749463257
RPL34-AS1,2668.0,True,3773.0,1.4183944710260499,928.307299761331,1.4181913610008332
SP2-AS1,30955.0,True,2652.0,16.45667198298777,32985.4051695567,1.5334442315931887
MAPKAPK5-AS1,338281.0,True,692.0,179.84104199893673,757650.9295061476,1.9794215899262761
SNRK-AS1,142.0,True,1521.0,0.07549175970228601,5.314510728788444,1.7217797964443977
NUS1P2,89.0,True,4634.0,0.04731525784157363,1.4461643308787766,1.3497815916036537
KRT18P15,780.0,True,2743.0,0.41467304625199364,140.96093352336354,1.523094588478639
HSPA8P3,17.0,True,1006.0,0.009037745879851143,0.07704593527661836,1.85715988921871
LINC01239,5.0,True,3230.0,0.002658160552897395,0.00690782404108272,1.469901319855956
MTCO2P16,113.0,True,2983.0,0.06007442849548113,3.0192614838191547,1.4957536601924746
LINC00676,27.0,True,1956.0,0.014354066985645933,0.2003257660592487,1.6407817196903436
LINC00163,4.0,True,4977.0,0.002126528442317916,0.004250794620335494,1.3278372863275414
MTND2P18,7.0,True,2165.0,0.003721424774056353,0.013284015971585957,1.6068538720671843
SNRPCP19,71.0,True,4747.0,0.037745879851143006,1.4597447034737068,1.3430101707252375
BRD3OS,29895.0,True,2350.0,15.893141945773525,32304.341766771857,1.5730116458897463
FAM237A,52.0,True,3767.0,0.02764486975013291,0.5311502482835069,1.4187251898252937
RPSAP16,5249.0,True,1820.0,2.790536948431685,3850.4167401902564,1.6626633014444085
LINC01366,1210.0,True,3642.0,0.6432748538011696,246.20193480154285,1.4304439089887107
HGH1,32524.0,True,380.0,17.290802764486976,56239.841984514795,2.1466286626731867
PPP1R3E,103862.0,True,4283.0,55.21637426900585,135534.26698705985,1.3763643282044375
DANT2,10951.0,True,3418.0,5.821903242955875,14283.524647652333,1.451289587658144
OR13C1P,331.0,True,1626.0,0.17597022860180755,24.01210311400681,1.7014825064944383
RPL12P25,797.0,True,3961.0,0.42371079213184476,130.4177140950377,1.4016943300863454
EPN2-AS1,21.0,True,4712.0,0.011164274322169059,0.09721571821235875,1.3448632860143843
KRT18P63,332.0,True,3852.0,0.17650186071238702,19.714575203321,1.4109265403422373
JARID2-AS1,326.0,True,4453.0,0.17331206804891017,26.555053332880878,1.363124176979879
CASP17P,12403.0,True,1196.0,6.593833067517278,11064.250898118926,1.8000035682188895
HIPK1-AS1,17346.0,True,253.0,9.221690590111642,22306.660933523362,2.2786146846249875
MSC-AS1,413.0,True,4939.0,0.21956406166932482,46.97463832049498,1.3302735571555335
KRT18P66,9.0,True,1635.0,0.004784688995215311,0.021785605212256948,1.6993298187741597
