GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Tasp1_4	2933	1454	2.280e-01	7.299e+00	3.907e+00	-7.904e-01	-1.157e+00	1.000e+00	1.000e+00
Tatdn1_2	3508	1138	3.135e-01	3.919e+00	4.849e+00	3.002e+00	3.206e+00	1.134e-02	4.599e-02
Tatdn1_3	2238	1098	3.238e-01	1.403e+00	6.561e+00	1.322e+00	4.657e-01	3.345e-01	4.668e-01
Tatdn1_5	1901	1131	3.057e-01	5.710e+00	4.156e+00	-1.395e-01	6.937e-01	2.388e-01	3.700e-01
Taz_3	3657	1648	4.508e-01	7.488e+00	2.974e+00	-2.476e+00	3.101e+00	1.276e-02	5.097e-02
Taz_6	4474	1579	4.534e-01	3.610e+00	4.508e+00	1.887e+00	1.250e+00	1.138e-01	2.262e-01
Tbc1d13_9	4715	1587	4.275e-01	5.986e+00	4.186e+00	8.844e-01	7.200e-01	2.301e-01	3.608e-01
Tbc1d13_nmdSE_2	4484	1972	4.275e-01	-4.907e+00	6.481e+00	-6.714e-01	-8.765e-02	1.000e+00	1.000e+00
Tbc1d13_13	3680	1170	4.223e-01	-7.750e+00	4.028e+00	-5.547e-01	5.491e-01	2.947e-01	4.287e-01
Tbc1d19_nmdSE_1	3974	1400	5.933e-01	-7.264e+00	4.598e+00	-4.138e-01	8.989e-01	1.800e-01	3.093e-01
Tbc1d25_1	3711	1555	2.565e-01	5.949e+00	2.871e+00	-6.141e-01	1.109e+00	1.364e-01	2.556e-01
Tbc1d9b_2	2797	1830	3.316e-01	3.382e+00	5.130e+00	3.194e+00	3.575e+00	7.496e-03	3.493e-02
Tbc1d9b_3	1436	674	2.979e-01	4.398e+00	4.210e+00	6.227e-01	6.238e-02	7.239e-01	8.819e-01
Tbc1d9b_5	1597	455	3.187e-01	4.274e+00	3.628e+00	1.861e+00	1.246e+00	1.145e-01	2.262e-01
Tbce_12	11961	3879	6.710e-01	4.303e+00	4.032e+00	1.111e-01	7.627e-01	2.168e-01	3.426e-01
Tbck_2	5928	1709	3.549e-01	5.409e+00	4.542e+00	2.772e+00	2.310e+00	3.160e-02	9.750e-02
Tbl1x_1	3133	475	4.326e-01	-5.651e+00	4.682e+00	-2.034e-01	-4.132e-01	1.000e+00	1.000e+00
Tbp_1	7571	1312	5.415e-01	2.225e+00	4.698e+00	-1.057e+00	4.666e-01	3.341e-01	4.668e-01
Tbp_3	8012	1388	5.415e-01	-2.500e+00	5.922e+00	-3.495e-02	8.613e-01	1.894e-01	3.212e-01
Tbp_4	9152	2893	5.440e-01	9.248e-01	3.070e+00	1.397e-01	2.544e-01	4.757e-01	6.188e-01
Tbp_6	6952	693	5.363e-01	-2.649e+00	5.717e+00	1.652e+00	7.930e-01	2.079e-01	3.360e-01
Tcaf1_2	48391	1343	9.534e-01	-5.829e+00	3.239e+00	-9.712e-02	-5.176e-01	1.000e+00	1.000e+00
Tceb1_3	5241	2116	8.446e-01	-6.297e+00	3.107e+00	1.198e+00	2.573e+00	2.330e-02	7.937e-02
Tcerg1_3	12954	2502	6.192e-01	5.606e-01	4.341e+00	4.640e-01	5.659e-01	2.874e-01	4.218e-01
Tcerg1_nmdSE_1	13021	571	5.466e-01	-6.898e+00	3.271e+00	3.229e-01	2.195e-01	5.076e-01	6.485e-01
Tcf12_7	35036	8460	7.047e-01	3.085e+00	2.731e+00	1.049e+00	4.434e-01	3.464e-01	4.791e-01
Tcf12_nmdSE_4	7091	1700	4.663e-01	-5.245e+00	3.526e+00	-1.228e+00	2.515e-01	4.782e-01	6.210e-01
Tcf25_3	54160	12399	9.819e-01	6.668e+00	2.113e+00	-2.421e+00	1.404e+01	1.160e-07	3.513e-06
Tcf4_6	5991	1337	5.155e-01	5.020e+00	4.501e+00	1.052e+00	1.124e+00	1.337e-01	2.518e-01
Tcof1_2	3851	648	3.523e-01	-3.845e+00	4.862e+00	1.037e+00	3.632e-01	3.941e-01	5.302e-01
Tcof1_3	4259	1310	3.342e-01	5.315e+00	5.024e+00	-5.953e-01	1.187e+00	1.234e-01	2.392e-01
Tctex1d2_3	5429	852	3.342e-01	5.109e+00	2.611e+00	2.133e+00	1.267e+00	1.114e-01	2.252e-01
Tdp2_3	3335	780	3.497e-01	3.299e+00	4.713e+00	5.184e+00	4.758e+00	2.036e-03	1.282e-02
Tdrd3_4	2965	1016	4.249e-01	5.081e+00	3.974e+00	4.963e-01	-2.168e-01	1.000e+00	1.000e+00
Tecr_6	82509	21461	1.000e+00	-9.650e-01	1.399e+00	-1.591e+00	4.430e+01	4.810e-21	1.262e-18
Telo2_4	7765	2644	3.912e-01	3.352e+00	5.481e+00	1.411e+00	1.637e+00	7.041e-02	1.650e-01
Ten1_2	21477	3692	6.114e-01	3.394e+00	3.555e+00	6.995e-01	1.714e+00	6.411e-02	1.557e-01
Tenm2_4	6684	1706	3.860e-01	-1.502e+00	3.995e+00	2.681e+00	5.718e+00	7.205e-04	6.153e-03
Tex264_4	13605	7914	5.337e-01	3.648e+00	4.407e+00	3.012e+00	5.515e+00	8.968e-04	7.129e-03
Tfcp2_3	5616	2208	3.912e-01	5.109e+00	4.377e+00	2.303e+00	2.371e+00	2.943e-02	9.265e-02
Tfdp1_nmdSE_1	6700	867	5.699e-01	-7.479e+00	4.202e+00	-6.861e-01	4.434e-01	3.464e-01	4.791e-01
Tfe3_1	4402	1004	3.549e-01	3.997e+00	3.924e+00	1.144e+00	7.874e-01	2.095e-01	3.364e-01
Tfg_3	56823	3873	8.523e-01	-3.785e+00	2.808e+00	7.896e-01	3.663e+00	6.796e-03	3.301e-02
Tfrc_1	5476	1986	4.637e-01	5.919e+00	3.660e+00	-5.019e-01	-1.160e-01	1.000e+00	1.000e+00
Tfrc_2	2661	1500	3.860e-01	7.709e+00	3.602e+00	-2.574e+00	2.954e+00	1.507e-02	5.731e-02
Thap2_1	27586	2795	5.181e-01	2.254e+00	6.381e+00	3.130e+00	2.652e+00	2.127e-02	7.506e-02
Thap3_2	7880	1129	2.979e-01	1.897e+00	6.426e+00	1.922e+00	-1.501e-01	1.000e+00	1.000e+00
Thap7_3	16170	1834	5.311e-01	6.193e-01	5.510e+00	-1.263e+00	4.688e-02	7.595e-01	9.167e-01
Thap7_7	18428	2378	5.337e-01	1.293e+00	6.269e+00	-1.788e+00	3.174e-02	8.011e-01	9.611e-01
Thoc5_5	5905	1209	5.311e-01	-3.234e+00	4.747e+00	-8.723e-01	9.978e-01	1.578e-01	2.809e-01
